Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1083713,-,-,-,35.73,-79.18,-5,156,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type
2016,1,1,0,0,0,0,6
2016,1,1,0,30,0,0,6
2016,1,1,1,0,0,0,8
2016,1,1,1,30,0,0,8
2016,1,1,2,0,0,0,8
2016,1,1,2,30,0,0,8
2016,1,1,3,0,0,0,8
2016,1,1,3,30,0,0,8
2016,1,1,4,0,0,0,8
2016,1,1,4,30,0,0,8
2016,1,1,5,0,0,0,8
2016,1,1,5,30,0,0,8
2016,1,1,6,0,0,0,8
2016,1,1,6,30,0,0,8
2016,1,1,7,0,0,0,8
2016,1,1,7,30,0,0,8
2016,1,1,8,0,49,58,8
2016,1,1,8,30,114,138,8
2016,1,1,9,0,183,220,8
2016,1,1,9,30,249,299,8
2016,1,1,10,0,267,371,8
2016,1,1,10,30,199,431,8
2016,1,1,11,0,353,480,8
2016,1,1,11,30,377,514,8
2016,1,1,12,0,341,532,8
2016,1,1,12,30,256,534,8
2016,1,1,13,0,194,520,8
2016,1,1,13,30,218,491,8
2016,1,1,14,0,116,446,8
2016,1,1,14,30,158,390,8
2016,1,1,15,0,131,322,8
2016,1,1,15,30,100,246,8
2016,1,1,16,0,67,166,4
2016,1,1,16,30,34,85,4
2016,1,1,17,0,7,18,8
2016,1,1,17,30,0,0,6
2016,1,1,18,0,0,0,6
2016,1,1,18,30,0,0,6
2016,1,1,19,0,0,0,6
2016,1,1,19,30,0,0,6
2016,1,1,20,0,0,0,6
2016,1,1,20,30,0,0,6
2016,1,1,21,0,0,0,8
2016,1,1,21,30,0,0,8
2016,1,1,22,0,0,0,8
2016,1,1,22,30,0,0,8
2016,1,1,23,0,0,0,8
2016,1,1,23,30,0,0,8
2016,1,2,0,0,0,0,6
2016,1,2,0,30,0,0,6
2016,1,2,1,0,0,0,8
2016,1,2,1,30,0,0,6
2016,1,2,2,0,0,0,6
